HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
"12 Nguyen Thai Hoc Street, Hue City, Hue Vietnam",29,93,N/A,"English, Vietnamese",Nhat Tuong Hotel,N/A,N/A,N/A,"Which popular attractions are close to Nhat Tuong Hotel?, ,What are some of the property amenities at Nhat Tuong Hotel?, ,What food & drink options are available at Nhat Tuong Hotel?, ,Is parking available at Nhat Tuong Hotel?, ,What are some restaurants close to Nhat Tuong Hotel?, ,Which languages are spoken by the staff at Nhat Tuong Hotel?, ",N/A,2,#52 of 58 small hotels in Hue,2,N/A,190,Poor,21,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d4318264-Reviews-Nhat_Tuong_Hotel-Hue_Thua_Thien_Hue_Province.html
N/A,0,0,N/A,N/A,Nhu Y Homestay,N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d19857031-Reviews-Nhu_Y_Homestay-Hue_Thua_Thien_Hue_Province.html
"12 Nguyen Trai, Hue Vietnam",27,92,N/A,N/A,Truong Tam Phong,N/A,N/A,N/A,"Which popular attractions are close to Truong Tam Phong?, ,What are some restaurants close to Truong Tam Phong?, ",N/A,0,N/A,0,N/A,168,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d17569984-Reviews-Truong_Tam_Phong-Hue_Thua_Thien_Hue_Province.html
"128 Nguyen Khoa Chiem, An Tay, Thanh pho Hue,, Hue 49000 Vietnam",0,0,N/A,N/A,Samba Hostel Hue,N/A,N/A,N/A,"Which popular attractions are close to Samba Hostel Hue?, ,What are some restaurants close to Samba Hostel Hue?, ",N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21364809-Reviews-Samba_Hostel_Hue-Hue_Thua_Thien_Hue_Province.html
"Tran Cao Van 26, Hue Vietnam",18,96,N/A,N/A,Thanh Xuan Hotel,N/A,N/A,N/A,"Which popular attractions are close to Thanh Xuan Hotel?, ,What are some restaurants close to Thanh Xuan Hotel?, ,Is Thanh Xuan Hotel located near the city center?, ",N/A,0,N/A,0,N/A,104,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21160085-Reviews-Thanh_Xuan_Hotel-Hue_Thua_Thien_Hue_Province.html
"25 Hai Ba Trung, Hue 53000 Vietnam",5,86,N/A,Vietnamese,Lilly Guest House,N/A,N/A,N/A,"Which popular attractions are close to Lilly Guest House?, ,What are some of the property amenities at Lilly Guest House?, ,What are some restaurants close to Lilly Guest House?, ,Is Lilly Guest House located near the city center?, ",N/A,0,N/A,0,N/A,33,N/A,13,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d11927029-Reviews-Lilly_Guest_House-Hue_Thua_Thien_Hue_Province.html
"109/2 Nguyen Hue Street, Hue 53000 Vietnam",7,90,N/A,N/A,Hoan Vu Hotel,N/A,N/A,N/A,"Which popular attractions are close to Hoan Vu Hotel?, ,What are some restaurants close to Hoan Vu Hotel?, ,Is Hoan Vu Hotel located near the city center?, ",N/A,0,N/A,0,N/A,55,N/A,20,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d6840442-Reviews-Hoan_Vu_Hotel-Hue_Thua_Thien_Hue_Province.html
"Lot B26, Dao Trinh Nhat Street, Vy Da, Hue Vietnam",7,82,N/A,"English, Vietnamese",Hoang Du Hotel,N/A,N/A,N/A,"Which popular attractions are close to Hoang Du Hotel?, ,What are some of the property amenities at Hoang Du Hotel?, ,Which room amenities are available at Hoang Du Hotel?, ,What are some restaurants close to Hoang Du Hotel?, ,Is Hoang Du Hotel located near the city center?, ,Are any cleaning services offered at Hoang Du Hotel?, ,Which languages are spoken by the staff at Hoang Du Hotel?, ",N/A,1,#48 of 58 small hotels in Hue,3,N/A,39,Average,23,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d3521979-Reviews-Hoang_Du_Hotel-Hue_Thua_Thien_Hue_Province.html
"91 Dao Duy Tu, Hue Vietnam",13,67,N/A,"English, Vietnamese",ML's House,N/A,N/A,N/A,"Which popular attractions are close to ML's House?, ,What are some of the property amenities at ML's House?, ,Is parking available at ML's House?, ,What are some restaurants close to ML's House?, ,Is ML's House located near the city center?, ,Which languages are spoken by the staff at ML's House?, ",N/A,0,N/A,0,N/A,35,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d12537043-Reviews-ML_s_House-Hue_Thua_Thien_Hue_Province.html
"Lane 66 No. 14 Le Loi, Hue Vietnam",6,81,N/A,N/A,Phuong Guesthouse,N/A,N/A,N/A,"Which popular attractions are close to Phuong Guesthouse?, ,What are some restaurants close to Phuong Guesthouse?, ",N/A,0,N/A,0,N/A,25,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d7618471-Reviews-Phuong_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"Lang Co, Phu Loc, Hue Vietnam",0,0,N/A,N/A,Tao Ngo Guest House,N/A,N/A,N/A,"Which popular attractions are close to Tao Ngo Guest House?, ",N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d11880962-Reviews-Tao_Ngo_Guest_House-Hue_Thua_Thien_Hue_Province.html
"135 Nguyen Sinh Cung Street, Hue Vietnam",1,62,N/A,N/A,Little Hue Hotel,N/A,N/A,N/A,"Which popular attractions are close to Little Hue Hotel?, ,What are some of the property amenities at Little Hue Hotel?, ,What food & drink options are available at Little Hue Hotel?, ,What are some restaurants close to Little Hue Hotel?, ,Does Little Hue Hotel have airport transportation?, ",N/A,0,N/A,0,N/A,12,N/A,21,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d3804272-Reviews-Little_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html
"75 Vo th_ Sau Phu_ng Phu H_i, Hue Vietnam",27,94,N/A,N/A,Leranda Homestay,N/A,N/A,N/A,"Which popular attractions are close to Leranda Homestay?, ,What are some restaurants close to Leranda Homestay?, ",N/A,0,N/A,0,N/A,139,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21397617-Reviews-Leranda_Homestay-Hue_Thua_Thien_Hue_Province.html
"21 Dong Da, Hue Vietnam",16,72,N/A,N/A,Phu My Khanh Guesthouse,N/A,N/A,N/A,"Which popular attractions are close to Phu My Khanh Guesthouse?, ,What are some restaurants close to Phu My Khanh Guesthouse?, ,Is Phu My Khanh Guesthouse located near the city center?, ",N/A,0,N/A,0,N/A,43,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d7624485-Reviews-Phu_My_Khanh_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"57 Lam Hoang Street, Hue 53000 Vietnam",0,63,N/A,"English, Vietnamese",Thanh Nien Hotel,N/A,N/A,N/A,"What are some of the property amenities at Thanh Nien Hotel?, ,Which room amenities are available at Thanh Nien Hotel?, ,What food & drink options are available at Thanh Nien Hotel?, ,Is parking available at Thanh Nien Hotel?, ,What are some restaurants close to Thanh Nien Hotel?, ,Does Thanh Nien Hotel have an airport shuttle?, ,Does Thanh Nien Hotel have airport transportation?, ,Are pets allowed at Thanh Nien Hotel?, ,Which languages are spoken by the staff at Thanh Nien Hotel?, ",N/A,0,N/A,0,N/A,13,N/A,32,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d6770790-Reviews-Thanh_Nien_Hotel-Hue_Thua_Thien_Hue_Province.html
"Lot B 21 Pham Van Dong Street, Hue Vietnam",4,79,N/A,N/A,Ngoc Mai Hotel,N/A,N/A,N/A,"Which popular attractions are close to Ngoc Mai Hotel?, ,What are some of the property amenities at Ngoc Mai Hotel?, ,Which room amenities are available at Ngoc Mai Hotel?, ,What are some restaurants close to Ngoc Mai Hotel?, ,Are any cleaning services offered at Ngoc Mai Hotel?, ",N/A,0,N/A,0,N/A,30,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d3188118-Reviews-Ngoc_Mai_Hotel-Hue_Thua_Thien_Hue_Province.html
"31 Ki_t 82 Qu_ng T_, Hue Vietnam",0,0,N/A,N/A,Lam Vien Homestay Hue,N/A,N/A,N/A,"Which popular attractions are close to Lam Vien Homestay Hue?, ,What are some restaurants close to Lam Vien Homestay Hue?, ",N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d23429149-Reviews-Lam_Vien_Homestay_Hue-Hue_Thua_Thien_Hue_Province.html
"57 Pham Van Dong, Hue Vietnam",25,91,N/A,N/A,Lux Hotel,N/A,N/A,N/A,"Which popular attractions are close to Lux Hotel?, ,What are some of the property amenities at Lux Hotel?, ,What are some restaurants close to Lux Hotel?, ,Are any cleaning services offered at Lux Hotel?, ",N/A,0,N/A,0,N/A,131,N/A,16,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d3518915-Reviews-Lux_Hotel-Hue_Thua_Thien_Hue_Province.html
N/A,0,0,N/A,N/A,Bao Khang Hostel,N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d17853360-Reviews-Bao_Khang_Hostel-Hue_Thua_Thien_Hue_Province.html
"9/162 Nguyen Sinh Cung, Hue Vietnam",8,82,N/A,Vietnamese,Vy Da Homestay,N/A,N/A,N/A,"Which popular attractions are close to Vy Da Homestay?, ,What are some of the property amenities at Vy Da Homestay?, ,What are some restaurants close to Vy Da Homestay?, ",N/A,0,N/A,0,N/A,34,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d8866245-Reviews-Vy_Da_Homestay-Hue_Thua_Thien_Hue_Province.html
"10A/25, Hai Ba Trung Street, Hue 530000 Vietnam",4,86,N/A,N/A,Purple Hue Bnb,N/A,N/A,N/A,"Which popular attractions are close to Purple Hue Bnb?, ,What are some restaurants close to Purple Hue Bnb?, ,Is Purple Hue Bnb located near the city center?, ",N/A,0,N/A,0,N/A,30,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d23677018-Reviews-Purple_Hue_Bnb-Hue_Thua_Thien_Hue_Province.html
N/A,0,0,N/A,N/A,Ngoc Hieu Guest House,N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21303920-Reviews-Ngoc_Hieu_Guest_House-Hue_Thua_Thien_Hue_Province.html
"79 Thich Tinh Khiet, Hue Vietnam",6,48,N/A,N/A,Thanh Lich Guesthouse,N/A,N/A,N/A,"Which popular attractions are close to Thanh Lich Guesthouse?, ,What are some restaurants close to Thanh Lich Guesthouse?, ",N/A,0,N/A,0,N/A,23,N/A,6,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d10150565-Reviews-Thanh_Lich_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"130 Truong Chinh, Hue Vietnam",8,57,N/A,N/A,Forest Tag Homestay,N/A,N/A,N/A,"Which popular attractions are close to Forest Tag Homestay?, ,What are some restaurants close to Forest Tag Homestay?, ",N/A,0,N/A,0,N/A,41,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21397658-Reviews-Forest_Tag_Homestay-Hue_Thua_Thien_Hue_Province.html
"Pham Van Dong, Hue Vietnam",6,49,N/A,Vietnamese,Thien Ly Homestay,N/A,N/A,N/A,"Which popular attractions are close to Thien Ly Homestay?, ,What are some of the property amenities at Thien Ly Homestay?, ,Is parking available at Thien Ly Homestay?, ,What are some restaurants close to Thien Ly Homestay?, ",N/A,0,N/A,0,N/A,41,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d8846989-Reviews-Thien_Ly_Homestay-Hue_Thua_Thien_Hue_Province.html
"131 Thach Han, Hue Vietnam",17,77,N/A,N/A,Hue Railway Hotel,N/A,N/A,N/A,"Which popular attractions are close to Hue Railway Hotel?, ,What are some restaurants close to Hue Railway Hotel?, ,Is Hue Railway Hotel located near the city center?, ",N/A,0,N/A,0,N/A,56,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21126043-Reviews-Hue_Railway_Hotel-Hue_Thua_Thien_Hue_Province.html
"72 Phan Chu Trinh, Hue Vietnam",3,66,N/A,N/A,Hong Ha Guesthouse,N/A,N/A,N/A,"Which popular attractions are close to Hong Ha Guesthouse?, ,What are some restaurants close to Hong Ha Guesthouse?, ,Is Hong Ha Guesthouse located near the city center?, ",N/A,0,N/A,0,N/A,13,N/A,6,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d9707246-Reviews-Hong_Ha_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"Road 10, Hue Vietnam",0,0,N/A,"English, French, Spanish",Vang Anh Homestay,N/A,N/A,N/A,"Which popular attractions are close to Vang Anh Homestay?, ,What are some of the property amenities at Vang Anh Homestay?, ,What are some restaurants close to Vang Anh Homestay?, ,Which languages are spoken by the staff at Vang Anh Homestay?, ",N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d8846720-Reviews-Vang_Anh_Homestay-Hue_Thua_Thien_Hue_Province.html
"45 Pham Van Dong, Hue Vietnam",5,48,N/A,Vietnamese,Giang Ngoc Hostel,N/A,N/A,N/A,"Which popular attractions are close to Giang Ngoc Hostel?, ,What are some restaurants close to Giang Ngoc Hostel?, ",N/A,0,N/A,0,N/A,22,N/A,5,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d7626195-Reviews-Giang_Ngoc_Hostel-Hue_Thua_Thien_Hue_Province.html
"42/48 Ngo Quyen, P. Vinh Ninh, Hue Vietnam",3,71,N/A,"English, Vietnamese",Tri Phuong Guesthouse,N/A,N/A,N/A,"Which popular attractions are close to Tri Phuong Guesthouse?, ,What are some of the property amenities at Tri Phuong Guesthouse?, ,What are some restaurants close to Tri Phuong Guesthouse?, ,Is Tri Phuong Guesthouse located near the city center?, ,Which languages are spoken by the staff at Tri Phuong Guesthouse?, ",N/A,2,#30 of 34 lodges in Hue,2,N/A,10,Poor,12,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d8640647-Reviews-Tri_Phuong_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"18 Pham Van Dong, Hue Vietnam",3,78,N/A,N/A,Truong Phu Hotel,N/A,N/A,N/A,"Which popular attractions are close to Truong Phu Hotel?, ,What are some restaurants close to Truong Phu Hotel?, ",N/A,1,#55 of 58 small hotels in Hue,1,2,30,Terrible,21,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d3318514-Reviews-Truong_Phu_Hotel-Hue_Thua_Thien_Hue_Province.html
"12 Le Hong Son Street, Hue Vietnam",1,56,N/A,"English, Vietnamese",Viet Son Hotel,N/A,N/A,N/A,"Which popular attractions are close to Viet Son Hotel?, ,What are some of the property amenities at Viet Son Hotel?, ,Which room amenities are available at Viet Son Hotel?, ,Is parking available at Viet Son Hotel?, ,What are some restaurants close to Viet Son Hotel?, ,Does Viet Son Hotel have airport transportation?, ,Are any cleaning services offered at Viet Son Hotel?, ,Which languages are spoken by the staff at Viet Son Hotel?, ",N/A,0,N/A,0,N/A,10,N/A,16,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d12358672-Reviews-Viet_Son_Hotel-Hue_Thua_Thien_Hue_Province.html
"66 Tang Bat Ho, Hue Vietnam",5,76,N/A,N/A,Nha Nghi Quynh Nhu 2,N/A,N/A,N/A,"Which popular attractions are close to Nha Nghi Quynh Nhu 2?, ,What are some restaurants close to Nha Nghi Quynh Nhu 2?, ,Is Nha Nghi Quynh Nhu 2 located near the city center?, ",N/A,0,N/A,0,N/A,16,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d17710029-Reviews-Nha_Nghi_Quynh_Nhu_2-Hue_Thua_Thien_Hue_Province.html
"60 Pham Van Dong Street, Hue 74000 Vietnam",27,70,N/A,"English, Vietnamese",My Hanh Hotel Hue,N/A,N/A,N/A,"Which popular attractions are close to My Hanh Hotel Hue?, ,What are some of the property amenities at My Hanh Hotel Hue?, ,What food & drink options are available at My Hanh Hotel Hue?, ,Is parking available at My Hanh Hotel Hue?, ,What are some restaurants close to My Hanh Hotel Hue?, ,Does My Hanh Hotel Hue have an airport shuttle?, ,Does My Hanh Hotel Hue have airport transportation?, ,Are pets allowed at My Hanh Hotel Hue?, ,Which languages are spoken by the staff at My Hanh Hotel Hue?, ,Are there any historical sites close to My Hanh Hotel Hue?, ",N/A,0,N/A,0,2,168,N/A,12,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d6393312-Reviews-My_Hanh_Hotel_Hue-Hue_Thua_Thien_Hue_Province.html
"20 Nguyen Huu Ba, Hue Vietnam",17,78,N/A,N/A,Homestay Hue SH,N/A,N/A,N/A,"Which popular attractions are close to Homestay Hue SH?, ,What are some restaurants close to Homestay Hue SH?, ,Is Homestay Hue SH located near the city center?, ",N/A,0,N/A,0,N/A,50,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d17631086-Reviews-Homestay_Hue_SH-Hue_Thua_Thien_Hue_Province.html
"24, Alley 56, Hai Trieu Street, Hue Vietnam",0,0,N/A,Vietnamese,Lao Guesthouse,N/A,N/A,N/A,"Which popular attractions are close to Lao Guesthouse?, ,What are some of the property amenities at Lao Guesthouse?, ,Is parking available at Lao Guesthouse?, ,What are some restaurants close to Lao Guesthouse?, ",N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d12483252-Reviews-Lao_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"28 Nguyen Sinh Cung, Hue Vietnam",8,82,N/A,N/A,Dang Tuan Guesthouse,N/A,N/A,N/A,"Which popular attractions are close to Dang Tuan Guesthouse?, ,What are some of the property amenities at Dang Tuan Guesthouse?, ,What are some restaurants close to Dang Tuan Guesthouse?, ,Does Dang Tuan Guesthouse have airport transportation?, ",N/A,0,N/A,0,N/A,31,N/A,12,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d6527828-Reviews-Dang_Tuan_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"73 Kiet 33 An Duong Vuong, Hue Vietnam",4,52,N/A,N/A,Khanh Tri House,N/A,N/A,N/A,"Which popular attractions are close to Khanh Tri House?, ,What are some restaurants close to Khanh Tri House?, ",N/A,0,N/A,0,N/A,18,N/A,15,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d14916499-Reviews-Khanh_Tri_House-Hue_Thua_Thien_Hue_Province.html
"129-131 Pham Van Dong, Hue 53000 Vietnam",19,54,N/A,Vietnamese,An Sinh Motel,N/A,N/A,N/A,"Which popular attractions are close to An Sinh Motel?, ,What are some of the property amenities at An Sinh Motel?, ,What food & drink options are available at An Sinh Motel?, ,Is parking available at An Sinh Motel?, ,What are some restaurants close to An Sinh Motel?, ",N/A,0,N/A,0,N/A,109,N/A,15,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d6774599-Reviews-An_Sinh_Motel-Hue_Thua_Thien_Hue_Province.html
"8/58 Phan Chu Trinh Street, Hue 53000 Vietnam",3,70,N/A,"English, Vietnamese",Thanh Huyen Guest House,N/A,N/A,N/A,"Which popular attractions are close to Thanh Huyen Guest House?, ,What are some of the property amenities at Thanh Huyen Guest House?, ,Which room amenities are available at Thanh Huyen Guest House?, ,What are some restaurants close to Thanh Huyen Guest House?, ,Is Thanh Huyen Guest House located near the city center?, ,Which languages are spoken by the staff at Thanh Huyen Guest House?, ",N/A,0,N/A,0,N/A,10,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d6922276-Reviews-Thanh_Huyen_Guest_House-Hue_Thua_Thien_Hue_Province.html
"12 Cao Xuan Huy, Vy Da, Hue Vietnam",2,78,N/A,N/A,Mina Home,N/A,N/A,N/A,"Which popular attractions are close to Mina Home?, ,What are some restaurants close to Mina Home?, ",N/A,0,N/A,0,N/A,40,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d17613440-Reviews-Mina_Home-Hue_Thua_Thien_Hue_Province.html
"72/13 Dao Tan, Phuoc Vinh Ward, Hue Vietnam",3,78,N/A,"English, Vietnamese",Hong Phuoc Guesthouse,N/A,N/A,N/A,"Which popular attractions are close to Hong Phuoc Guesthouse?, ,What are some of the property amenities at Hong Phuoc Guesthouse?, ,Which room amenities are available at Hong Phuoc Guesthouse?, ,What food & drink options are available at Hong Phuoc Guesthouse?, ,Is parking available at Hong Phuoc Guesthouse?, ,What are some restaurants close to Hong Phuoc Guesthouse?, ,Does Hong Phuoc Guesthouse have airport transportation?, ,Is Hong Phuoc Guesthouse located near the city center?, ,Are pets allowed at Hong Phuoc Guesthouse?, ,Which languages are spoken by the staff at Hong Phuoc Guesthouse?, ",N/A,0,N/A,0,N/A,13,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d12431331-Reviews-Hong_Phuoc_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"Lot 5, Phu Thuong, Pham Van Dong Street, Hue 53000 Vietnam",4,80,N/A,Vietnamese,Tao Do Guest House,N/A,N/A,N/A,"Which popular attractions are close to Tao Do Guest House?, ,What are some of the property amenities at Tao Do Guest House?, ,What are some restaurants close to Tao Do Guest House?, ",N/A,0,N/A,0,N/A,40,N/A,12,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d6922277-Reviews-Tao_Do_Guest_House-Hue_Thua_Thien_Hue_Province.html
"57/5 Nguyen Cong Tru street, Hue 100000 Vietnam",25,91,347,"English, Vietnamese",Hue Serene Shining Hotel & Spa,$26 ,$19 ,$19 - $26,"Which popular attractions are close to Hue Serene Shining Hotel & Spa?, ,What are some of the property amenities at Hue Serene Shining Hotel & Spa?, ,Which room amenities are available at Hue Serene Shining Hotel & Spa?, ,What food & drink options are available at Hue Serene Shining Hotel & Spa?, ,Is parking available at Hue Serene Shining Hotel & Spa?, ,What are some restaurants close to Hue Serene Shining Hotel & Spa?, ,Does Hue Serene Shining Hotel & Spa have airport transportation?, ,Are any cleaning services offered at Hue Serene Shining Hotel & Spa?, ,Which languages are spoken by the staff at Hue Serene Shining Hotel & Spa?, ,Are there any historical sites close to Hue Serene Shining Hotel & Spa?, ,Does Hue Serene Shining Hotel & Spa have any great views?, ",80,"1,156",#5 of 209 hotels in Hue,5,3,122,Excellent,24,"Quiet,Modern",49,https://www.tripadvisor.com/Hotel_Review-g293926-d8755459-Reviews-Hue_Serene_Shining_Hotel_Spa-Hue_Thua_Thien_Hue_Province.html
"6/8 Ha Noi St., Hue 530000 Vietnam",14,94,N/A,N/A,Ecology Hostel,N/A,N/A,N/A,"Which popular attractions are close to Ecology Hostel?, ,What are some of the property amenities at Ecology Hostel?, ,What food & drink options are available at Ecology Hostel?, ,Is parking available at Ecology Hostel?, ,What are some restaurants close to Ecology Hostel?, ,Does Ecology Hostel have airport transportation?, ,Is Ecology Hostel located near the city center?, ,Are any cleaning services offered at Ecology Hostel?, ,Are pets allowed at Ecology Hostel?, ",N/A,0,N/A,0,N/A,67,N/A,5,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d12958242-Reviews-Ecology_Hostel-Hue_Thua_Thien_Hue_Province.html
